"Nome","Idade","Especialidade","Missões","HorasEmGravidadeZero","PlanetaFavorito","AvaliaçãoTreinamento"
"Bianca","35.0","Médico(a)","1.0","995","Vênus","8.0"
"Diana","29.0","Físico(a)","1.0","834","Vênus","6.0"
"Jéssica","41.0","Físico(a)","2.0","619","Júpiter","6.0"
"Igor","29.0","Médico(a)","3.0","821","Vênus","10.0"
"Jéssica","29.0","Piloto","2.0","381","Marte","9.0"
"Igor","41.0","Engenheiro(a)","1.0","229","Vênus","7.0"
"Carlos","32.0","Piloto","4.0","861","Netuno",""
"Eduardo","38.0","Médico(a)","1.0","817","Vênus","6.0"
"Fernanda","35.0","Biólogo(a)","4.0","308","Saturno","7.0"
"Eduardo","38.0","Piloto","4.0","940","Marte","8.0"
"Bianca","","Médico(a)","3.0","245","Marte","8.0"
"Helena","41.0","Físico(a)","1.0","549","Marte","8.0"
"Diana","41.0","Médico(a)","1.0","647","Júpiter","8.0"
"Helena","32.0","Biólogo(a)","3.0","646","Vênus","10.0"
"Bianca","32.0","Biólogo(a)","4.0","743","Netuno","7.0"
"Bianca","32.0","Médico(a)","3.0","787","Marte","10.0"
"Alex","29.0","Biólogo(a)","4.0","979","Marte","8.0"
"Gustavo","","Piloto","3.0","948","Vênus","6.0"
"Eduardo","32.0","Piloto","","241","Marte","8.0"
"Helena","38.0","Médico(a)","1.0","894","Saturno",""
